URIs,Name label
http://www.wikidata.org/entity/Q5402001,"Hällström, Erik af (1897 - 1951)"
http://www.wikidata.org/entity/Q21558143,"Voipio, Onni (1881 - 1937)"
http://www.wikidata.org/entity/Q5476316,"Miettinen, Aino (1885 - 1980)"
http://www.wikidata.org/entity/Q11852883,"Helenius, Artturi (1878 - 1959)"
http://www.wikidata.org/entity/Q348299,"Grabbe, Nils (K 1549)"
http://www.wikidata.org/entity/Q3076598,"Nyström, Gustaf (1856 - 1917)"
http://www.wikidata.org/entity/Q4115483,"Renvall, Gustaf (1781 - 1841)"
http://www.wikidata.org/entity/Q11289035,"Lindfors, Julius af (1831 - 1903)"
http://www.wikidata.org/entity/Q5797471,"Heidenstrauch, Johan Henrik (1776 - 1847)"
http://www.wikidata.org/entity/Q11875590,"Krohn, Leopold (1837 - 1892)"
http://www.wikidata.org/entity/Q65239960,"Autio, Maili (1877 - 1958)"
http://www.wikidata.org/entity/Q2042885,"Letonmäki, Lauri (1886 - 1935)"
http://www.wikidata.org/entity/Q18169863,"Cronstierna, Henrich (1602 - 1678)"
http://www.wikidata.org/entity/Q11880885,"Paaso, Maria (1868 - 1945)"
http://www.wikidata.org/entity/Q5973883,"Malmgren, Anders Johan (1834 - 1897)"
http://www.wikidata.org/entity/Q5493779,"Liemola, Lasse (1937 - )"
http://www.wikidata.org/entity/Q11859220,"Henttu, Ewald (1879 - 1961)"
http://www.wikidata.org/entity/Q11857591,"Holmsten, Elsa Christina (1709 - 1735)"
http://www.wikidata.org/entity/Q17381683,"Kivinen, Ilmari (1883 - 1940)"
http://www.wikidata.org/entity/Q11854067,Bengt Mårteninpoika (mainitaan 1442 - 1451)
http://www.wikidata.org/entity/Q11902073,"Lahtinen, Väinö (1897 - 1989)"
http://www.wikidata.org/entity/Q3349981,"Kallio, Oiva (1884 - 1964)"
http://www.wikidata.org/entity/Q2925391,Birgitta Norjalainen (K noin 1210)
http://www.wikidata.org/entity/Q931826,"Karsten, Petter Adolf (1834 - 1917)"
http://www.wikidata.org/entity/Q11868785,"Merikoski, Kaarlo (1878 - 1954)"
http://www.wikidata.org/entity/Q11860108,"Tikanoja, Frithiof (1877 - 1964)"
http://www.wikidata.org/entity/Q531582,"Castrén, Matthias Alexander (1813 - 1852)"
http://www.wikidata.org/entity/Q914211,"Finch, Alfred William (1854 - 1930)"
http://www.wikidata.org/entity/Q30206237,"Hedman, Felix (1871 - 1935)"
http://www.wikidata.org/entity/Q18632799,"Jenderjan, Klaes (1650 - 1704)"
http://www.wikidata.org/entity/Q23040601,"Krouvila, Mikko Jaakonpoika (1699 - 1767)"
http://www.wikidata.org/entity/Q4200866,"Indrenius, Bernhard (1812 - 1884)"
http://www.wikidata.org/entity/Q26270155,"Juuti, Jyrki Antti (1927 - 2001)"
http://www.wikidata.org/entity/Q353085,"Kuoppamäki, Jukka (1942 - )"
http://www.wikidata.org/entity/Q11857001,"Jokela, Eila (1915 - 2002)"
http://www.wikidata.org/entity/Q22681500,"Lindskog, Adolph (1751 - 1836)"
http://www.wikidata.org/entity/Q7310636,"Lundán, Reko (1969 - 2006)"
http://www.wikidata.org/entity/Q315858,"Araktshejev, Aleksei Andrejevitsh (1769 - 1834)"
http://www.wikidata.org/entity/Q17380455,"Hakala, Jaakko (1912 - 1964)"
http://www.wikidata.org/entity/Q5551795,"Aho, Lauri (1901 - 1985)"
