oeblbio,oeblid
http://www.wikidata.org/entity/Q214375,H/Hoenigswald_Richard_1875_1947
http://www.wikidata.org/entity/Q215869,V/Vogl_Erwin_1896_1943
http://www.wikidata.org/entity/Q216135,H/Habe_Hans_1911_1977
http://www.wikidata.org/entity/Q216058,T/Tichatschek_Joseph-Alois_1807_1886
http://www.wikidata.org/entity/Q225315,U/Urbantschitsch_Viktor_1847_1921
http://www.wikidata.org/entity/Q233074,V/Vetsera_Maria-Alexandrine_1871_1889
http://www.wikidata.org/entity/Q246354,G/Greguss_Agost_1825_1882
http://www.wikidata.org/entity/Q246759,K/Kupka_Josef_1862_1941
http://www.wikidata.org/entity/Q252311,B/Bolyai-Bolya_Wolfgang_1775_1856
http://www.wikidata.org/entity/Q262637,C/Chalupka_Samo_1812_1883
http://www.wikidata.org/entity/Q264381,P/Pacic_Jovan_1771_1849
http://www.wikidata.org/entity/Q266415,K/Kaufmann_Isidor_1853_1921
http://www.wikidata.org/entity/Q275513,W/Wisinger-Florian_Olga_1844_1926
http://www.wikidata.org/entity/Q279397,S/Szechenyi-Sarvar-Felsoevidek_Istvan_1791_1860
http://www.wikidata.org/entity/Q281577,U/Ulrich_Christian_1836_1909
http://www.wikidata.org/entity/Q282047,K/Keleti_Karoly_1833_1892
http://www.wikidata.org/entity/Q293171,P/Paradis_Maria-Theresia_1759_1824
http://www.wikidata.org/entity/Q294065,L/Lechner_Oedoen_1845_1914
http://www.wikidata.org/entity/Q302590,L/Littrow_Joseph-Johann_1781_1840
http://www.wikidata.org/entity/Q304321,A/Abranyi-Laszlofalva-Mikefoeld_Clementin_1856_1932
http://www.wikidata.org/entity/Q310431,S_43/Suppe_Franz_1819_1895
http://www.wikidata.org/entity/Q310431,S/Suppe_Franz_1819_1895
http://www.wikidata.org/entity/Q312700,S/Suk_Josef_1874_1935
http://www.wikidata.org/entity/Q312985,R/Reti_Richard_1889_1929
http://www.wikidata.org/entity/Q314005,R/Ruben_Christian_1805_1875
http://www.wikidata.org/entity/Q317016,L/Liechtenstein_Johann-II_1840_1929
http://www.wikidata.org/entity/Q317919,K/Kasper_Ludwig_1893_1945
http://www.wikidata.org/entity/Q318907,T/Thun-Hohenstein_Leopold-Leonhard_1748_1826
http://www.wikidata.org/entity/Q319764,J/Joseph_Anton-Johann_1776_1847
http://www.wikidata.org/entity/Q320612,H/Henszlmann_Emerich_1813_1888
http://www.wikidata.org/entity/Q324318,F/Fuehrich_Josef_1800_1876
http://www.wikidata.org/entity/Q326446,K/Klastersky_Antonin_1866_1938
http://www.wikidata.org/entity/Q328710,G/Gruenfeld_Heinrich_1855_1931
http://www.wikidata.org/entity/Q329068,S/Stefani_Jan_1746_1829
http://www.wikidata.org/entity/Q330244,J/Jaell_Alfred_1832_1882
http://www.wikidata.org/entity/Q331047,H/Hiremy-Hirschl_Adolf_1860_1933
http://www.wikidata.org/entity/Q333972,T/Trebitsch-Lincoln_Ignatius-Timothy_1879_1943
http://www.wikidata.org/entity/Q336493,T/Tisza-Borosjenoe-Szeged_Istvan_1861_1918
http://www.wikidata.org/entity/Q337528,J/Jahn_Wilhelm_1835_1900
http://www.wikidata.org/entity/Q338862,S/Spaun_Josef_1788_1865
http://www.wikidata.org/entity/Q344027,T/Tham_Vaclav_1765_1816
http://www.wikidata.org/entity/Q344599,M/Mahnic_Anton_1850_1920
http://www.wikidata.org/entity/Q347096,K/Kauer_Ferdinand_1751_1831
http://www.wikidata.org/entity/Q347305,D/Dungel_Adalbert_1842_1923
http://www.wikidata.org/entity/Q347384,G/Gyrowetz_Adalbert_1763_1850
http://www.wikidata.org/entity/Q347678,S/Seligmann_Adalbert-Franz_1862_1945
http://www.wikidata.org/entity/Q347735,W/Wolf_Adalbert_1879_1950
http://www.wikidata.org/entity/Q348863,B/Brenner_Adam_1800_1891
http://www.wikidata.org/entity/Q350993,B/Bickell_Gustav-Wilhelm-Hugo_1838_1906
http://www.wikidata.org/entity/Q361938,G/Grohmann_Adolf_1825_1895
